Altium Designer Pick and Place Locations
C:\Users\louis\Documents\PCB ADVANCED\PCB-ADVANCED\PCB_ADVANCED\Project Outputs for PCB_ADVANCED\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       10-11-23
Time:       18:41
Revision:   f0eac10d58163776ec34bea95404fcb7fd4c51e0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"F602","Fiducial","TopLayer","Fiducial30mil","5.0000","89.9998","0","30mil Fiducial"
"F601","Fiducial","TopLayer","Fiducial30mil","78.5000","89.9998","0","30mil Fiducial"
"F600","Fiducial","TopLayer","Fiducial30mil","5.0000","9.9998","0","30mil Fiducial"
"D606","LED","TopLayer","LED_0603","20.3818","97.2894","360","Typical INFRARED GaAs LED"
"D600","LED","TopLayer","LED_0603","73.1775","97.2894","360","Typical INFRARED GaAs LED"
"D605","LED","TopLayer","LED_0603","29.1811","97.2894","360","Typical INFRARED GaAs LED"
"D603","LED","TopLayer","LED_0603","46.7797","97.2894","360","Typical INFRARED GaAs LED"
"D601","LED","TopLayer","LED_0603","64.3783","97.2894","360","Typical INFRARED GaAs LED"
"D602","LED","TopLayer","LED_0603","55.5790","97.2894","360","Typical INFRARED GaAs LED"
"D604","LED","TopLayer","LED_0603","37.9804","97.2894","360","Typical INFRARED GaAs LED"
"D607","LED","TopLayer","LED_0603","11.5825","97.2894","360","Typical INFRARED GaAs LED"
"D100","USBLC6-2SC6","TopLayer","STM-SOT23-6L_V","43.1500","10.2498","90","Very low capacitance ESD protection, 3.5 pF, -40 to 125 degC, 6-Pin SOT23, RoHS, Tape and Reel"
"D101","LED","TopLayer","LED_0603","52.7160","3.4653","270","Typical INFRARED GaAs LED"
"C512","4.7u","BottomLayer","CAP_0402","49.2870","60.3518","360","Capacitor"
"C503","0.47uF","BottomLayer","CAP_0402","37.8570","55.6528","360","Capacitor"
"C509","0.47uF","BottomLayer","CAP_0402","49.2870","54.3828","360","Capacitor"
"C508","0.47uF","BottomLayer","CAP_0402","49.2870","52.6048","360","Capacitor"
"C511","4.7u","BottomLayer","CAP_0402","49.2870","55.6528","180","Capacitor"
"C507","0.47uF","BottomLayer","CAP_0402","49.2870","58.5738","360","Capacitor"
"C513","47uF","BottomLayer","CAP_0603","42.9000","51.4998","90","Capacitor"
"C506","47uF","BottomLayer","CAP_0603","44.1500","51.4998","90","Capacitor"
"C502","0.47uF","BottomLayer","CAP_0402","37.8570","57.4308","360","Capacitor"
"C500","0.47uF","BottomLayer","CAP_0402","37.8570","60.3518","180","Capacitor"
"C501","0.47uF","BottomLayer","CAP_0402","37.8570","58.7008","180","Capacitor"
"C504","4.7u","BottomLayer","CAP_0402","37.8570","54.3828","180","Capacitor"
"C510","0.47uF","BottomLayer","CAP_0402","49.2870","57.3038","180","Capacitor"
"C505","4.7u","BottomLayer","CAP_0402","37.8570","52.6048","180","Capacitor"
"X300","EC2620TS-12.000M TR","TopLayer","7x5mm_Crystal","26.1730","17.9018","360","12Mhz oscillator"
"R100","4K7","TopLayer","RES_0603","63.9500","10.9998","0","Resistor"
"R104","3K","TopLayer","RES_0603","72.6550","19.5848","360","Resistor"
"R105","12K","TopLayer","RES_0603","63.9500","17.2998","0","Resistor"
"R106","12K","TopLayer","RES_0603","72.6550","15.4785","180","Resistor"
"R101","1K5","TopLayer","RES_0603","63.9500","6.7998","180","Resistor"
"R107","10K","TopLayer","RES_0603","63.9500","13.0998","180","Resistor"
"R307","12K","TopLayer","RES_0603","19.9110","8.4461","90","Resistor"
"R302","22","TopLayer","RES_0603","38.1980","48.0248","270","Resistor"
"R313","22","TopLayer","RES_0603","23.0500","22.2998","360","Resistor"
"R303","22","TopLayer","RES_0603","36.1660","48.0248","270","Resistor"
"R308","12K","TopLayer","RES_0603","24.2290","8.4461","90","Resistor"
"R306","12K","TopLayer","RES_0603","23.0500","23.8998","180","Resistor"
"R312","1K","TopLayer","RES_0603","11.0600","11.9648","270","Resistor"
"R301","22","TopLayer","RES_0603","31.5000","47.9998","270","Resistor"
"R311","470","TopLayer","RES_0603","34.1740","3.4558","90","Resistor"
"R309","12K","TopLayer","RES_0603","22.0700","8.4461","90","Resistor"
"R310","470","TopLayer","RES_0603","28.7130","3.4558","90","Resistor"
"R305","12K","TopLayer","RES_0603","23.1500","32.6998","180","Resistor"
"R304","22","TopLayer","RES_0603","34.1340","48.0248","270","Resistor"
"R300","1K5","TopLayer","RES_0603","23.1500","34.1998","360","Resistor"
"J100","USB B micro","TopLayer","USB_Micro_B","43.5501","2.8998","0",""
"D300","LED","TopLayer","LED_0603","30.8720","3.4463","90","Typical INFRARED GaAs LED"
"D301","LED","TopLayer","LED_0603","35.8250","3.4463","90","Typical INFRARED GaAs LED"
"C105","20pF","TopLayer","CAP_0603","72.6550","17.5817","360","Capacitor"
"C107","20pF","TopLayer","CAP_0603","63.9500","15.1998","0","Capacitor"
"C102","22u","TopLayer","CAP_1210","58.7803","21.6698","360","Capacitor"
"C103","20pF","TopLayer","CAP_0603","63.9500","8.8998","360","Capacitor"
"C311","100n","BottomLayer","CAP_0603","17.4500","24.8998","360","Capacitor"
"C308","100n","BottomLayer","CAP_0603","17.4500","29.1998","360","Capacitor"
"C305","100n","TopLayer","CAP_0603","8.3950","30.1258","360","Capacitor"
"C304","100n","TopLayer","CAP_0603","19.8230","21.1088","90","Capacitor"
"C303","100n","TopLayer","CAP_0603","13.2190","34.5708","180","Capacitor"
"C302","100n","TopLayer","CAP_0603","17.1560","34.5708","360","Capacitor"
"C301","100n","TopLayer","CAP_0603","13.4050","21.1088","90","Capacitor"
"C306","100n","BottomLayer","CAP_0603","17.4500","30.5998","360","Capacitor"
"C300","100n","TopLayer","CAP_0603","15.5050","21.1088","90","Capacitor"
"C314","100n","TopLayer","CAP_0603","26.0460","13.7108","180","Capacitor"
"C312","100n","TopLayer","CAP_0603","8.4000","25.0998","360","Capacitor"
"C309","100n","TopLayer","CAP_0603","8.4000","27.3498","360","Capacitor"
"U401","MX25V1635FM2I","TopLayer","SOP-8","67.1540","69.1148","90","Flash Memory, Serial NOR, 16 Mbit, 2M x 8bit, SPI, SOP, 8 Pins"
"U300","FT2232HQ-Reel","TopLayer","FP-FT2232HQ-Reel-MFG","15.6610","28.4328","180","IC USB HS DUAL UART/FIFO 64-QFN"
"R406","4K7","TopLayer","RES_0603","71.8530","70.3848","360","Resistor"
"R408","22","TopLayer","RES_0603","53.7320","66.5113","180","Resistor"
"R400","4K7","TopLayer","RES_0603","48.3980","48.0328","270","Resistor"
"R415","22","TopLayer","RES_0603","53.7320","70.7023","180","Resistor"
"R418","1K","TopLayer","RES_0603","50.4300","48.0328","270","Resistor"
"R405","4K7","TopLayer","RES_0603","71.8530","72.4168","360","Resistor"
"R413","22","TopLayer","RES_0603","53.7320","68.6068","180","Resistor"
"R420","1K","TopLayer","RES_0603","52.4620","48.0448","90","Resistor"
"R410","470","TopLayer","RES_0603","72.6406","9.3190","180","Resistor"
"R401","470","TopLayer","RES_0603","72.6406","13.4253","180","Resistor"
"R412","22","TopLayer","RES_0603","53.7320","64.4158","180","Resistor"
"R407","22","TopLayer","RES_0603","53.7320","72.7978","180","Resistor"
"R421","1K","TopLayer","RES_0603","9.1550","21.1088","90","Resistor"
"R419","1K","TopLayer","RES_0603","9.0280","11.9648","270","Resistor"
"R403","4K7","TopLayer","RES_0603","40.4000","47.9998","270","Resistor"
"R404","4K7","TopLayer","RES_0603","71.8530","68.3528","360","Resistor"
"D400","LED","TopLayer","LED_0603","60.5900","3.4653","270","Typical INFRARED GaAs LED"
"C400","100n","TopLayer","CAP_0603","63.0948","72.0000","90","Capacitor"
"C401","100uF","BottomLayer","CAP_0805","40.6500","51.9998","360","Capacitor"
"U100","LTC3569EUD#TRPBF","TopLayer","LT-UD-20_N","65.0033","21.6698","360","Triple Buck Regulator with 1.2 A and Two 600 mA Outputs and Individual Programmable References, 20-pin QFN (UD-20), -40 to 125 degC, Pb-Free, Tape and Reel"
"U1","XC7S6-1FTGB196C","TopLayer","FP-XC7S6-1FTGB196C-MFG","43.6500","59.4998","0","XC7S6-1FTGB196C"
"C207","100uF","BottomLayer","CAP_0805","43.6990","64.4158","270","Capacitor"
"C209","0.47uF","BottomLayer","CAP_0402","42.6830","56.0338","90","Capacitor"
"C202","0.47uF","BottomLayer","CAP_0402","46.6200","60.0978","270","Capacitor"
"C206","0.47uF","BottomLayer","CAP_0402","39.8890","57.9668","270","Capacitor"
"C200","47uF","BottomLayer","CAP_0603","46.6200","55.6528","90","Capacitor"
"C204","47uF","BottomLayer","CAP_0603","39.6501","60.2498","270","Capacitor"
"C203","0.47uF","BottomLayer","CAP_0402","46.6200","62.1298","270","Capacitor"
